"Vino","Denominazione","Colore","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Fiano di Avellino","Fiano","Bianco","La Casa dell' Orco","Colore giallo paglierino, con sentore di nocciola tostata. Odore intenso, fine, gradevole. Sapore armonico.","Fiano","13%","D.O.C.G.","Via Limaturo, 52","Pratola Serra","Avellino","40.912723, 14.769109","http://www.lacasadellorco.it/","0825 967038","http://www.vinit.net/vini/cantine/Campania/Avellino/Pratola_Serra/La_Casa_dell_Orco_1525.html",
"Irpinia Rosato","Irpinia","Rosato","La Casa dell' Orco","Colore rosa tenue, odore floreale e fruttato.","","12,5%","D.O.C.","Via Limaturo, 52","Pratola Serra","Avellino","40.912723, 14.769109","http://www.lacasadellorco.it/","0825 967038","http://www.vinit.net/vini/cantine/Campania/Avellino/Pratola_Serra/La_Casa_dell_Orco_1525.html",
"Ipinia Fiano Passito","Irpinia","Bianco","La Casa dell'Orco","Colore giallo ambrato, odore delicato e floreale; sapore dolce, armonico e pieno","","15%","D.O.C.","Via Limaturo, 52","Pratola Serra","Avellino","40.912723, 14.769109","http://www.lacasadellorco.it/","0825 967038","http://www.vinit.net/vini/cantine/Campania/Avellino/Pratola_Serra/La_Casa_dell_Orco_1525.html",
"Lino delle Fate","Aglianico del Taburno","Rosso","La Dormiente","Vino passito dal colore rosso rubino carico, con un aspetto denso. All'odore ricorda sentori di frutta a bacca rossa, ciliegia e prugna secca. Morbido e denso al gusto.","100% Aglianico","","D.O.C.G.","Via Centore","Torrecuso","Benevento","41.191191, 14.677535","http://www.ladormiente.it/default.php?section=home","0824 872737","",
"Falanghina del Taburno","Falanghina del Sannio Taburno","Bianco","La Dormiente","Il colore si presenta giallo paglierino carico, con riflessi verdognoli. All'odore si presenta delicatamente fruttato con note floreali e speziate. Morbido al gusto, buona sapidità con finale persistente.","100% Falanghina","","D.O.C.","Via Centore","Torrecuso","Benevento","41.191191, 14.677535","http://www.ladormiente.it/default.php?section=home","0824 872737","",
"Marilò","Sannio Taburno","Bianco","La Dormiente","Il vino si presenta giallo paglierino con riflessi dorati. All'odore si presenta delicatamente fruttato con note minerali, morbido al gusto.","100% Coda di Volpe","","D.O.C.","Via Centore","Torrecuso","Benevento","41.191191, 14.677535","http://www.ladormiente.it/default.php?section=home","0824 872737","",
"Aglianico Beneventano","Beneventano","Rosso","La Dormiente","Il colore si presenta rosso rubino, all'odore ricorda sentori di frutta a bacca rossa, morbino e denso al gusto, con tannini ben equilibrati.","100% Aglianico","","I.G.T.","Via Centore","Torrecuso","Benevento","41.191191, 14.677535","http://www.ladormiente.it/default.php?section=home","0824 872737","",
"Falanghina Beneventano","Beneventano","Bianco","La Dormiente","Il colore si presenta giallo paglierino con riflessi verdognoli. All'odore si presenta delicatamente fruttato morbido al gusto, con finale persistente.","100% Falanghina","","I.G.T.","Via Centore","Torrecuso","Benevento","41.191191, 14.677535","http://www.ladormiente.it/default.php?section=home","0824 872737","",
"Aglianico del Taburno","Aglianico del Taburno","Rosso","La Dormiente","Il colore si presenta rosso rubino carico, all'odore ricorda sentori di frutta a bacca rossa, morbino e denso al gusto, con tannini ben equilibrati.","100% Aglianico","","D.O.C.G.","Via Centore","Torrecuso","Benevento","41.191191, 14.677535","http://www.ladormiente.it/default.php?section=home","0824 872737","",
"Aglianico del Taburno Rosato","Aglianico del Taburno","Rosato","La Dormiente","Il colore si presenta rosato, all'odore ricorda sentori di fragloa, lampone e ribes.","100% Aglianico","","D.O.C.G.","Via Centore","Torrecuso","Benevento","41.191191, 14.677535","http://www.ladormiente.it/default.php?section=home","0824 872737","",
"Rosso Riserva Janare","Sannio Guardia Sanframondi","Rosso","La Guardiense","Vino dal colore profondo, intenso al profumo con sensazioni dolci e vanigliate che si fondono alle note speziate.Al gusto l’imponente struttura tannica è di particolare morbidezza e setosità.","80% Sangiovese; 20% Aglianico","13,5%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Coda di Volpe Janari","Sannio","Bianco","La Guardiense","Colore giallo paglierino con riflessi verdi e profumo floreale di notevole intensità.Sensazioni di freschezza incrementano progressivamente conferendo un gusto bilanciato e piacevole.","100% Coda di Volpe","13,5%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Cantone","Sannio","Rosso","La Guardiense","Il colore è un superbo rubino profondo, ampio al profumo con note fruttate di mora che si amalgamano alla vaniglia. Al gusto la dolcezza del tannino si integra alla fresca mineralità tipica del Piedirosso, creando un insieme di notevole persistenza.","100% Piedirosso","13,5%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Laureto","Falanghina del Sannio","Bianco","La Guardiense","Vino passito dal colore dorato, al profumo si avvertono sentori di vaniglia, miele ma anche frutta matura. Caratterizzato da una dolcezza bilanciata che termina con avvolgenti note mandorlate.","100% Falanghina","13%","I.G.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Fiano Janare","Sannio","Bianco","La Guardiense","Colore giallo paglierino con riflessi verdi, caratteristico profumo floreale e di frutta a polpa bianca.","100% Fiano","13,5%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Falanghina Janare","Falanghina del Sannio","Bianco","La Guardiense","Colore giallo paglierino, caratteristico profumo fruttato e di notevole intensità. Sensazioni di acidità e sapidità incrementano progressivamente conferendo un gusto bilanciato e piacevole.","100% Falanghina","13,6%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Cantari","Sannio Guardia Sanframondi","Rosso","La Guardiense","Vino dal colore profondo, intenso al profumo con sensazioni dolci e vanigliate che si fondono alle note speziate. Al gusto l’imponente struttura tannica è di particolare morbidezza e setosità.","100% Aglianico","14%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Greco Janare","Sannio","Bianco","La Guardiense","Intenso colore giallo paglierino, fragranza contraddistinta da toni fruttati e da spiccata intensità e persistenza.Sensazioni di acidità e sapidità incrementano progressivamente conferendo un gusto bilanciato e piacevole.","100% Greco","13,5%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Senete","Falanghina del Sannio Guardia Sanframondi","Bianco","La Guardiense","Colore giallo paglierino, caratteristico profumo fruttato e di notevole intensità. Sensazioni di acidità e sapidità incrementano progressivamente conferendo un gusto bilanciato e piacevole.","100% Falanghina","13,5%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Colle di Tilio","Sannio","Bianco","La Guardiense","Colore giallo paglierino con riflessi verdi, caratteristico profumo floreale e di frutta a polpa bianca.","100% Fiano","13,5%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Aglianico Janare","Sannio Guardia Sanframondi","Rosso","La Guardiense","Vino dal colore intenso con sfumature violacee, al profumo le sensazioni di ciliegia si fondono a quelle vanigliate date dal passaggio in botti.Al gusto è avvolgente ed intenso, con tannini importanti ma setosi.","100% Aglianico","13,8%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Lucchero","Sannio Guardia Sanframondi","Rosso","La Guardiense","Vino dal colore intenso con sfumature violacee, al profumo le sensazioni di ciliegia si fondono a quelle vanigliate date dal passaggio in botti.Al gusto è avvolgente ed intenso, con tannini importanti ma setosi.","100% Aglianico","13,5%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Pietralata","Sannio","Bianco","La Guardiense","Intenso colore giallo paglierino, fragranza contraddistinta da toni fruttati e da spiccata intensità e persistenza.Sensazioni di acidità e sapidità incrementano progressivamente conferendo un gusto bilanciato e piacevole.","100% Greco","13,5%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Cinquantenario","Falanghina del Sannio Spumante","Bianco","La Guardiense","Colore giallo paglierino brillante, caratteristico profumo fruttato di buona intensità con sentoridi cedro, agrumi, frutta bianca e lieviti. Piacevole, di buona struttura e ottima persistenza.Bilanciato.","100% Falanghina","12%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"I Mille per l'Aglianico","Sannio","Rosso","La Guardiense","","100% Aglianico","13,9%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Coste del Duca","Sannio","Rosso","La Guardiense","","100% Aglianico","13,5%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Calvese","Falanghina del Sannio","Bianco","La Guardiense","","100% Falanghina","13%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Piedirosso Janare","Sannio","Rosso","La Guardiense","Vino dal colore intenso con sfumature granata, al profumo le sensazioni di ciliegia si fondono a quelle vanigliate date dal passaggio in botti.Al gusto è avvolgente ed intenso, con tannini delicati e morbidi che conferiscono una buona persistenza.","100% Piedirosso","13,8%","D.O.P.","Località S.Lucia 104/105","Guardia Sanframondi","Benevento","41.250695, 14.574452","http://www.laguardiense.it/index.php","0824 864034","",
"Falanghina","Campi Flegrei","Bianco","La Sibilla","Di colore giallo paglierino con riflessi dorati,al naso presenta note fresche maintensamente delicate: vegetali, prima, insuperficie e quel tenue ricordo di salvia,macchia mediterranea, peperone verde.La frutta arriva in un secondo momento;pesca gialla e ananas non troppo maturi,e poi i sali minerali; sapidità decisa neiriverberi del suolo vulcanico.Al palato il vino è ben sostenuto da unagradevole acidità con una freschezzaespressiva.","100% Falanghina","12%","D.O.C.","Via Ottaviano Augusto, 19","Bacoli","Napoli","40.818102, 14.065976","http://www.sibillavini.com/","081 8688778","",
"Piedirosso","Campi Flegrei","Rosso","La Sibilla","Di colore rosso vivo ciliegia, molto fresco e fragrante,al naso note erbacee accennate accompagnano lapresenza della frutta, mai veramente matura,sempre carnosa e croccante, in particolare nellamarasca e nella susina.Al palato colpiscono ancora l’eleganza e lafreschezza.","100% Piedirosso","12,5%","D.O.C.","Via Ottaviano Augusto, 19","Bacoli","Napoli","40.818102, 14.065976","http://www.sibillavini.com/","081 8688778","",
"Marsiliano","Campania","Rosso","La Sibilla","Colore vivo, istintivo e brillante nelle nuances diciliegia con profumo di macchia mediterranea, dierbe aromatiche, di balsamo eucalipto, di pepebianco che si fondono con la prugna, la viola laliquirizia.Al palato è freschissimo, aggraziato, perfettamentebilanciato tra espressione polposa e fragranzanobile del frutto.","80% Marsigliese; 20% Vitigni autoctoni","14%","I.G.T.","Via Ottaviano Augusto, 19","Bacoli","Napoli","40.818102, 14.065976","http://www.sibillavini.com/","081 8688778","",
"Domus Giulii","Campania","Bianco","La Sibilla","Di colore giallo dorato, al naso presenta note freschema intensamente delicate: vegetali, prima, insuperficie e quel tenue ricordo di salvia, macchiamediterranea, peperone verde. La frutta arriva inun secondo momento; pesca gialla e ananasmaturi, e poi i sali minerali; sapidità decisa neiriverberi del suolo vulcanico.Al palato non è stucchevole, né troppo grasso epesante, sostenuto da una gradevole acidità etannicità con una freschezza espressiva.","100% Falanghina","12,5%","I.G.T.","Via Ottaviano Augusto, 19","Bacoli","Napoli","40.818102, 14.065976","http://www.sibillavini.com/","081 8688778","",
"Vigna Madre","Campi Flegrei","Rosso","La Sibilla","Di colore rosso vivo ciliegia, molto fresco e fragrante,al naso note erbacee accennate accompagnano lapresenza della frutta, mai veramente matura,sempre carnosa e croccante, in particolare nellamarasca e nella susina.Al palato colpiscono ancora l’eleganza e lafreschezza.","100% Piedirosso","13%","D.O.C.","Via Ottaviano Augusto, 19","Bacoli","Napoli","40.818102, 14.065976","http://www.sibillavini.com/","081 8688778","",
"CRUna deLago","Campi Flegrei","Bianco","La Sibilla","Di colore giallo paglierino con riflessi dorati,al naso presenta note fresche maintensamente delicate: vegetali, prima, insuperficie e quel tenue ricordo di salvia,macchia mediterranea, peperone verde.La frutta arriva in un secondo momento;pesca gialla e ananas non troppo maturi,e poi i sali minerali; sapidità decisa neiriverberi del suolo vulcanico.Al palato il vino è ben sostenuto da unagradevole acidità con una freschezzaespressiva.","100% Falanghina","13%","D.O.C.","Via Ottaviano Augusto, 19","Bacoli","Napoli","40.818102, 14.065976","http://www.sibillavini.com/","081 8688778","",
"Solopaca Rosso Biologico","Sannio Solopaca","Rosso","La Vinicola Del Vecchio","Colore rosso rubino carico dal profumo intenso e caratteristico.","70% Sangiovese; 20% Aglianico; 10% Montepulciano","12%","D.O.C.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Solopaca Aglianico Biologico","Sannio Solopaca","Rosso","La Vinicola Del Vecchio","Colore rosso rubino carico. Dal gusto e dal profumo.","100% Aglianico","12%","D.O.C.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Solopaca Falanghina Biologico","Sannio Solopaca","Bianco","La Vinicola Del Vecchio","Colore giallo paglierino scarico con riflessi verdognoli. Gradevole e delicato.","100% Falanghina","12%","D.O.C.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Aglianico Luna","Sannio","Rosso","La Vinicola Del Vecchio","Colore rosso rubino carico. Morbido e armonioso, dal gusto e dal profumo tipico.","85% Aglianico; 15% Montepulciano","12%","I.G.T.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Solopaca Aglianico - Tiffany","Sannio Solopaca","Rosso","La Vinicola Del Vecchio","Questo vino giovane, ottenuto da pressatura soffice delle bucce, si rende molto gradevole grazie alla sua morbidezza e armoniosità. Dal gusto e dal profumo tipico.","85% Aglianico; 15% Montepulciano","12%","D.O.C.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Sannio Barbera - Tiffany","Sannio","Rosso","La Vinicola Del Vecchio","Vino elegante ma allo stesso tempo robusto e corposo.","100% Barbera","13%","D.O.C.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Solopaca Greco - Tiffany","Sannio Solopaca","Bianco","La Vinicola Del Vecchio","Dal sapore delicato e armonioso e con profumo tipico di muschio.","100% Greco","12,5%","D.O.C.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Sangiovese","Beneventano","Rosso","La Vinicola Del Vecchio","Vino dal colore rosso rubino.","80% Sangiovese; 20% Montepulciano","11%","I.G.T.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Solopaca Rosso Luna","Sannio Solopaca","Rosso","La Vinicola Del Vecchio","Vino dal colore rosso rubino carico e dal profumo intenso e caratteristico.","60% Sangiovese; 20% Montepulciano; 20% Aglianico","12%","D.O.C.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Novello Sole","Beneventano","Rosso","La Vinicola Del Vecchio","Vino novello dal colore rosso rubino carico.","100% Aglianico","12%","I.G.T.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Aglianico Sole","Beneventano","Rosso","La Vinicola Del Vecchio","Colore rosso rubino carico. Morbido e armonioso, dal gusto e dal profumo tipico.","85% Aglianico; 15% Montepulciano","12%","I.G.T.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Falanghina Sole","Beneventano","Bianco","La Vinicola Del Vecchio","Colore giallo paglierino scarico. Semplice e allo stesso tempo ricco di personalità e profumi.","80% Falanghina; 20% Trebbiano Toscano","12%","I.G.T.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Solopaca Falanghina - Tiffany","Sannio Solopaca","Bianco","La Vinicola Del Vecchio","Vino tipico, dal colore chiaro e dal sapore asciutto e fruttato.","100% Falanghina","12,5%","D.O.C.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Solopaca Coda di Volpe - Tiffany","Sannio Solopaca","Bianco","La Vinicola Del Vecchio","Dal colore giallo paglierino, dall'odore delicato e floreale e dal gusto asciutto, tipico e vellutato.","100% Coda di Volpe","12,5%","D.O.C.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Solopaca Bianco Luna","Sannio Solopaca","Bianco","La Vinicola Del Vecchio","Colore giallo paglierino.","60% Trebbiano Toscano; 20% Malvasia di Candia; 20% Falanghina","12%","D.O.C.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Solopaca Bianco Biologico","Sannio Solopaca","Bianco","La Vinicola Del Vecchio","Colore giallo paglierino scarico","60% trebbiano Toscano; 20% Malvasia di Candia; 20% Falanghina","12%","D.O.C.","Via S. Giovanni, 55","Telese Terme","Benevento","41.204999, 14.501672","http://www.lavinicoladelvecchio.it/index.html","0824 975028","",
"Lacryma Christi del Vesuvio Rosso","Vesuvio","Rosso","La Vinicola del Titerno","Colore rosso rubino, sapore speziato, caldo, giustamente tannico.","Aglianico; Olivella; Palombina","12,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Barbera Linea V","Sannio","Rosso","La Vinicola del Titerno","Colore rosso rubino, limpido e consistente. Profumi intensi di frutti rossi. Gusto secco, buona alcolicità ed equilibrata tannicità, morbido e persistente, di buona struttura.","100% Barbera","","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Piedirosso Linea V","Sannio","Rosso","La Vinicola del Titerno","Di colore rosso rubino intenso, limpido abbastanza consistente.Profumi intensi di frutti rossi come la ciliegia. Gusto secco, di buona alcolicità, fresco. Struttura morbida ed equilibrata.","100% Piedirosso","","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Fiano Sannio","Sannio","Bianco","La Vinicola del Titerno","Di colore giallo paglierino; odore vinoso intenso e profumo di nocciola.","100% Fiano","12,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Falanghina Linea V","Falanghina del Sannio","Bianco","La Vinicola del Titerno","Colore giallo paglierino, cristallino. Profumi intensi e complessi di frutta a polpa bianca e gialla, sentori di fiori gialli.Gusto equilibrato tra sensazioni morbide e acidità, di buon corpo e discreta persistenza.","100% Falanghina","","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Aglianico Sannio","Sannio","Rosso","La Vinicola del Titerno","Di colore rosso rubino carico, granata con l’invecchiamento; di odore vinoso intenso e profumo di lampone; dal sapore asciutto, fine e leggermente tannico.","100% Aglianico","13%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Lacryma Christi del Vesuvio Bianco","Vesuvio","Bianco","La Vinicola del Titerno","Di colore giallo paglierino, fragrante e ricco di profumi elegante e armonico.","Coda di Volpe; Falanghina; Verdeca","12,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Falanghina Beneventano","Beneventano","Bianco","La Vinicola del Titerno","Di colore paglierino scarico con riflessi verdognoli; di odore vinoso, gradevole e fresco e dal sapore asciutto e armonico.","100% Falanghina","11,5%","I.G.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Coda di Volpe Sannio","Sannio","Bianco","La Vinicola del Titerno","Di colore giallo paglierino carico; di odore vinoso intenso e dal sapore asciutto.","100% Coda di Volpe","12,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Greco Beneventano","Beneventano","Bianco","La Vinicola del Titerno","Di colore giallo paglierino; odore vinoso intenso e profumo di mandorla.","100% Greco","12%","I.G.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Coda di Volpe Linea V","Sannio","Bianco","La Vinicola del Titerno","Colore giallo paglierino con riflessi dorati, cristallino,abbastanza consistente. Profumi intensi di fiori bianchi e frutta bianca matura. Gusto secco, di buona alcolicità, fresco, di corpo, equilibrato.","100% Coda di Volpe","","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Falanghina Beneventano","Beneventano","Bianco","La Vinicola del Titerno","Di colore paglierino scarico con riflessi verdognoli; di odore vinoso, gradevole e fresco e dal sapore asciutto e armonico.","100% Falanghina","11,5%","I.G.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Surripe Bianco","Beneventano","Bianco","La Vinicola del Titerno","Di colore giallo paglierino. Odore vinoso e gradevole e dal sapore asciutto e vellutato.","Coda Di Volpa; Falanghina; Malvasia di Candia; Trebbiano Toscano;","11,5%","I.G.T.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Solopaca Rosso","Sannio Solopaca","Rosso","La Vinicola del Titerno","Di colore rosso rubino che si attenua con l’invecchiamento; di odore intenso e caratteristico e dal sapore asciutto, armonico e vellutato.","Aglianico; Piedirosso; Sangiovese","12%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Solopaca Bianco","Sannio Solopaca","Bianco","La Vinicola del Titerno","Di colore giallo paglierino. Odore vinoso e gradevole e dal sapore asciutto e vellutato.","Coda Di Volpa; Falanghina; Malvasia di Candia; Trebbiano Toscano;","11,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Solopaca Rosso 'A Pezza","Sannio Solopaca","Rosso","La Vinicola del Titerno","Colore rosso rubino, profumo intenso, vinoso, gusto pieno e rotondo che sottolinea tutta la sua mediterraneità.","Aglianico; Barbera; Sangiovese; Sciascinoso","12%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Solopaca Bianco 'A Pezza","Sannio Solopaca","Bianco","La Vinicola del Titerno","Colore giallo paglierino, gusto pieno ed equilibrato.","Cerritum; Falanghina; Trebbiano","11,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Falanghina Sannio","Falanghina del Sannio","Bianco","La Vinicola del Titerno","Di colore paglierino scarico con riflessi verdognoli; odore vinoso, gradevole e fresco e dal sapore asciutto e armonico.","100% Falanghina","12,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Aglianico Beneventano","Beneventano","Rosso","La Vinicola del Titerno","Di colore rosso rubino che si attenua con l’invecchiamento. Odore intenso e sapore asciutto e leggermente tannico.","100% Aglianico","12%","I.G.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Piedirosso Sannio","Sannio","Rosso","La Vinicola del Titerno","Di colore rosso rubino carico, granata con l'invecchiamento.Aroma vinoso intenso, erbaceo di sottobosco.","100% Piedirosso","12,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Surripe Rosso","Beneventano","Rosso","La Vinicola del Titerno","Di colore rosso rubino che si attenua con l’invecchiamento; di odore intenso e caratteristico e dal sapore asciutto, armonico e vellutato.","Aglianico; Piedirosso; Sangiovese","12%","I.G.T.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Aglianico Linea V","Sannio","Rosso","La Vinicola del Titerno","Colore rosso rubino, limpido e consistente. Profumi intensi e complessi di frutti rossi, sentori speziati di pepe nero e chiodi di garofano, tostati di caffè e cacao.Gusto secco, di buona alcolicità ed equilibrata tannicità, morbido e persistente, di grandestruttura.","100% Aglianico","","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Taurasi","Taurasi","Rosso","Le Masciare","Colore concentrato rubino scuro intenso quandogiovane, con gli anni con maggiori riflessi digranato, al naso offre un bouquet ampio diciliegia, prugne ed amarena; con note speziatedi violetta, pepe nero e tabacco. Il gusto è pienocon tannini equilibrati ed una buona persistenzaaromatica.","100% Aglianico","14,5%","D.O.C.G.","Contrada Barbassano SNC","Paternopoli","Avellino","40.983721, 15.024790","http://www.lemasciare.com/","06 45596113","",
"Campi Taurasini","Irpinia Campi Taurasini","Rosso","Le Masciare","Colore concentrato rubino scuro intenso conriflessi di granato, al naso offre un bouquetampio di ciliegia, amarena, prugna e moraselvatica; con note varietali di cannella, vanigliae anice. Il gusto è pieno e equilibrato con unabuona presenza di tannini che sostengono lapersistenza aromatica.","100% Aglianico","14%","D.O.C.","Contrada Barbassano SNC","Paternopoli","Avellino","40.983721, 15.024790","http://www.lemasciare.com/","06 45596113","",
