"Vino","Denominazione","Colore","Tipologia","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Caio","Vesuvio","Rosso","Lacryma Christi","I Nobili del Vesuvio","Rosso rubino intenso con riflessi violacei. Aromi di ciliegia, prugna, lamponi e fragola, cui si aggiungono note speziate di pepe e chiodi di garofano. Caldo, di grande struttura e morbidezza, dotato di tannini fini.","100% Piedirosso","13%","D.O.C.","Via Bosco del Monaco, 1","Boscotrecase","Napoli","40.771292, 14.458245","http://www.inobilidelvesuvio.it","081 8580104","",
"Granatum","Cilento","Rosso","Aglianico","I Vini del Cavaliere (Casa Vinicola Cuomo)","Dal rosso rubino,intenso. Al naso complesso, intenso e persistente. Al palato strutturato e morbido rivela la sua tipicità.","100% Aglianico","14%","D.O.P.","Via Feudo La Pila, 16","Capaccio Paestum","Salerno","40.475429, 15.036664","http://www.vinicuomo.com/","0828 725376","",
"Nakes","Paestum","Rosso","Aglianico","I Vini del Cavaliere (Casa Vinicola Cuomo)","Dal rosso rubino carico, al naso presentasentori di frutti di bosco, timo, more, marasca, cacao, caffé e vaniglia. In bocca è morbido, equilibrato, intenso e persistente.","100% Aglianico","14%","I.G.T.","Via Feudo La Pila, 16","Capaccio Paestum","Salerno","40.475429, 15.036664","http://www.vinicuomo.com/","0828 725376","",
"Nyx","Vino Spumante","Bianco","Dolce","I Vini del Cavaliere (Casa Vinicola Cuomo)","Giallo paglierino.Aroma caratteristico di moscato. Dolce, fragrante e fruttato.","100% Moscato","","V.S.Q.A.","Via Feudo La Pila, 16","Capaccio Paestum","Salerno","40.475429, 15.036664","http://www.vinicuomo.com/","0828 725376","",
"Paistom","Paestum","Rosato","","I Vini del Cavaliere (Casa Vinicola Cuomo)","Dal colore rosa cerasuolo, al naso è fruttato con sentori di fragola e rosa mentre al palato risulta morbido, fresco, e persistente, con i sentori olfattivi che ritornano in bocca.","100% Aglianico","13%","I.G.T.","Via Feudo La Pila, 16","Capaccio Paestum","Salerno","40.475429, 15.036664","http://www.vinicuomo.com/","0828 725376","",
"Poseidon","Paestum","Rosso","Primitivo","I Vini del Cavaliere (Casa Vinicola Cuomo)","Dal colore Rosso e dal gusto morbido, intenso e persistente.","100% Primitivo","14,5%","I.G.P.","Via Feudo La Pila, 16","Capaccio Paestum","Salerno","40.475429, 15.036664","http://www.vinicuomo.com/","0828 725376","",
"Leukos","Paestum","Bianco","Fiano","I Vini del Cavaliere (Casa Vinicola Cuomo)","Dal colore giallo paglierino, al naso è fruttato, floreale, minerale. Al palato è fresco, intenso e persistente.","100% Fiano","13%","I.G.T.","Via Feudo La Pila, 16","Capaccio Paestum","Salerno","40.475429, 15.036664","http://www.vinicuomo.com/","0828 725376","",
"Ekkum","Sannio","Bianco","Falanghina","I Vini del Cavaliere (Casa Vinicola Cuomo)","Dal colore giallo oro, al naso è complesso con sentori di frutta. Al palato è morbido, equlibrato e persistente.","100% Falanghina","13,5%","D.O.C.","Via Feudo La Pila, 16","Capaccio Paestum","Salerno","40.475429, 15.036664","http://www.vinicuomo.com/","0828 725376","",
"Heraion","Cilento","Bianco","Fiano","I Vini del Cavaliere (Casa Vinicola Cuomo)","Dal colore giallo oro, al naso è complesso con sentori di frutta esotica mentre al palato è morbido, intenso e persistente.","100% Fiano","13,5%","D.O.C.","Via Feudo La Pila, 16","Capaccio Paestum","Salerno","40.475429, 15.036664","http://www.vinicuomo.com/","0828 725376","",
"","","","","Il Cancelliere","","","","","Contrada Iampenne, 45","Montemarano","Avellino","40.936891, 15.020842","http://www.ilcancelliere.it/home.html","0827 63557","",
"Primus Albus","Vino Spumante","Bianco","Extra Dry Grand Cuvée","Il Poggio","Presenta colore giallo paglierino scarico,perlage minuto e persistente,con intenso profumo floreale e di pasticceria sapore fruttato ed amabile.","Uve a bacca Bianca","","V.S.","Via Defenze, 4","Torrecuso","Benevento","41.202773, 14.709891","http://www.ilpoggiovini.it/","0824 7874068","",
"Sannio Aglianico","Sannio","Rosso","Aglianico","Il Poggio","Rosso con riflessi rubino. Frutta rossa , tabacco e ginepro. Morbido al gusto con tannini ben fusi ed un finale persistente.","100% Aglianico","","D.O.C.","Via Defenze, 4","Torrecuso","Benevento","41.202773, 14.709891","http://www.ilpoggiovini.it/","0824 7874068","",
"Taburno Falanghina del Sannio - Vendemmia Tardiva","Falanghina del Sannio Taburno","Bianco","Falanghina","Il Poggio","Il vino si presenta di colore giallo paglierino con riflessi dorati. Al naso offre profumi intensi e ampi e si diffonde con rotondità, senza mai urtare. Si avvertono sentori di mela verde, albicocca, sambuco, fiori primaverili in genere. Con un’acidità ben modulata e una pienezza lievemente concentrata dovuta ad una parziale sovra-maturazione. In bocca è sapido, pieno, di beva molto piacevole, di buona struttura e complessità.","100% Falanghina","","D.O.P.","Via Defenze, 4","Torrecuso","Benevento","41.202773, 14.709891","http://www.ilpoggiovini.it/","0824 7874068","",
"Beneventano Falanghina Guerriero","Beneventano","Bianco","Falanghina","Il Poggio","Dal colore giallo paglierino più o meno intenso. Odore tipico e caratteristico con sentori di mela acerba, sapore asciutto, intenso.","100% Falanghina","","I.G.T.","Via Defenze, 4","Torrecuso","Benevento","41.202773, 14.709891","http://www.ilpoggiovini.it/","0824 7874068","",
"Mirabilis","Beneventano","Rosso","Aglianico","Il Poggio","Dal color rosso rubino abbastanza intenso. Il profumo spiccato di prugna secca e l’aroma di tabacco ben fuso alla vaniglia danno a questo vino grande ricchezza aromatica.","100% Aglianico","","I.G.P.","Via Defenze, 4","Torrecuso","Benevento","41.202773, 14.709891","http://www.ilpoggiovini.it/","0824 7874068","",
"Beneventano Aglianico Guerriero","Beneventano","Rosso","Aglianico","Il Poggio","Dal colore rosso rubino più o meno intenso.Odore tipico e caratteristico, gradevole,persistente,sapore asciutto leggermente tannico.","100% Aglianico","","I.G.P.","Via Defenze, 4","Torrecuso","Benevento","41.202773, 14.709891","http://www.ilpoggiovini.it/","0824 7874068","",
"Taburno Sannio Coda di Volpe","Sannio Taburno","Bianco","Coda di Volpe","Il Poggio","Di colore giallo paglierino,con riflessi verdognoli. Al naso è persistente,con spiccati sentori di pere mature. Al gusto è fresco,morbido.","100% Coda di Volpe","","D.O.P.","Via Defenze, 4","Torrecuso","Benevento","41.202773, 14.709891","http://www.ilpoggiovini.it/","0824 7874068","",
"Sannio Fiano","Sannio","Bianco","Fiano","Il Poggio","Dal colore giallo paglierino. Il profumo intenso di frutta matura e dal sapore fresco e morbido.","100% Fiano","","D.O.P.","Via Defenze, 4","Torrecuso","Benevento","41.202773, 14.709891","http://www.ilpoggiovini.it/","0824 7874068","",
"Taburno Falanghina del Sannio","Falanghina del Sannio","Bianco","Falanghina","Il Poggio","Vino dal colore giallo paglierino intenso. Il gusto è gradevole, caratteristico dell'antico vitigno.","100% Falanghina","13%","D.O.P.","Via Defenze, 4","Torrecuso","Benevento","41.202773, 14.709891","http://www.ilpoggiovini.it/","0824 7874068","",
"Aglianico del Taburno Rosato","Aglianico del Taburno","Rosato","Aglianico","Il Poggio","I profumi fruttati, il color rosa corallo, il gusto rotondo e sapido, sono il risultato di una fermentazione termoregolata di un mosto svinato dopo una breve alzata di cappello.","100% Aglianico","","I.G.P.","Via Defenze, 4","Torrecuso","Benevento","41.202773, 14.709891","http://www.ilpoggiovini.it/","0824 7874068","",
"Aglianico del Taburno Riserva","Aglianico del Taburno","Rosso","Riserva","Il Poggio","Di colore rosso rubino carico con riflessi granata con l’invecchiamento.L’odore, complesso, ricorda la ciliegia nera ed il ribes nero. Al gusto, pieno ed equilibrato con tannini ben fusi, presenta un fondo aromatico persistente di tabacco e pepe nero.","100% Aglianico","","D.O.P.","Via Defenze, 4","Torrecuso","Benevento","41.202773, 14.709891","http://www.ilpoggiovini.it/","0824 7874068","",
"Safinos","Aglianico del Taburno","Rosso","Aglianico","Il Poggio","Rosso con riflessi rubino. Frutta rossa, tabacco e ginepro.Morbido al gusto con tannini ben fusi ed un finale persistente.","100% Aglianico","","D.O.C.G.","Via Defenze, 4","Torrecuso","Benevento","41.202773, 14.709891","http://www.ilpoggiovini.it/","0824 7874068","",
"","","","","Il Regno dei Vini","","","","","Via Cappella, 415","Monte di Procida","Napoli","40.803087, 14.059014","","081 8689086","",
"CRUna deLago","Campi Flegrei","Bianco","Falanghina","La Sibilla","Di colore giallo paglierino con riflessi dorati,al naso presenta note fresche maintensamente delicate: vegetali, prima, insuperficie e quel tenue ricordo di salvia,macchia mediterranea, peperone verde.La frutta arriva in un secondo momento;pesca gialla e ananas non troppo maturi,e poi i sali minerali; sapidità decisa neiriverberi del suolo vulcanico.Al palato il vino è ben sostenuto da unagradevole acidità con una freschezzaespressiva.","100% Falanghina","13%","D.O.C.","Via Ottaviano Augusto, 19","Bacoli","Napoli","40.818102, 14.065976","http://www.sibillavini.com/","081 8688778","",
"Marsiliano","Campania","Rosso","","La Sibilla","Colore vivo, istintivo e brillante nelle nuances diciliegia con profumo di macchia mediterranea, dierbe aromatiche, di balsamo eucalipto, di pepebianco che si fondono con la prugna, la viola laliquirizia.Al palato è freschissimo, aggraziato, perfettamentebilanciato tra espressione polposa e fragranzanobile del frutto.","80% Marsigliese; 20% Vitigni autoctoni","14%","I.G.T.","Via Ottaviano Augusto, 19","Bacoli","Napoli","40.818102, 14.065976","http://www.sibillavini.com/","081 8688778","",
"Falanghina","Campi Flegrei","Bianco","Falanghina","La Sibilla","Di colore giallo paglierino con riflessi dorati,al naso presenta note fresche maintensamente delicate: vegetali, prima, insuperficie e quel tenue ricordo di salvia,macchia mediterranea, peperone verde.La frutta arriva in un secondo momento;pesca gialla e ananas non troppo maturi,e poi i sali minerali; sapidità decisa neiriverberi del suolo vulcanico.Al palato il vino è ben sostenuto da unagradevole acidità con una freschezzaespressiva.","100% Falanghina","12%","D.O.C.","Via Ottaviano Augusto, 19","Bacoli","Napoli","40.818102, 14.065976","http://www.sibillavini.com/","081 8688778","",
"Vigna Madre","Campi Flegrei","Rosso","Piedirosso","La Sibilla","Di colore rosso vivo ciliegia, molto fresco e fragrante,al naso note erbacee accennate accompagnano lapresenza della frutta, mai veramente matura,sempre carnosa e croccante, in particolare nellamarasca e nella susina.Al palato colpiscono ancora l’eleganza e lafreschezza.","100% Piedirosso","13%","D.O.C.","Via Ottaviano Augusto, 19","Bacoli","Napoli","40.818102, 14.065976","http://www.sibillavini.com/","081 8688778","",
"Piedirosso","Campi Flegrei","Rosso","Piedirosso","La Sibilla","Di colore rosso vivo ciliegia, molto fresco e fragrante,al naso note erbacee accennate accompagnano lapresenza della frutta, mai veramente matura,sempre carnosa e croccante, in particolare nellamarasca e nella susina.Al palato colpiscono ancora l’eleganza e lafreschezza.","100% Piedirosso","12,5%","D.O.C.","Via Ottaviano Augusto, 19","Bacoli","Napoli","40.818102, 14.065976","http://www.sibillavini.com/","081 8688778","",
"Domus Giulii","Campania","Bianco","Falanghina","La Sibilla","Di colore giallo dorato, al naso presenta note freschema intensamente delicate: vegetali, prima, insuperficie e quel tenue ricordo di salvia, macchiamediterranea, peperone verde. La frutta arriva inun secondo momento; pesca gialla e ananasmaturi, e poi i sali minerali; sapidità decisa neiriverberi del suolo vulcanico.Al palato non è stucchevole, né troppo grasso epesante, sostenuto da una gradevole acidità etannicità con una freschezza espressiva.","100% Falanghina","12,5%","I.G.T.","Via Ottaviano Augusto, 19","Bacoli","Napoli","40.818102, 14.065976","http://www.sibillavini.com/","081 8688778","",
"Coda di Volpe Sannio","Sannio","Bianco","Coda di Volpe","La Vinicola del Titerno","Di colore giallo paglierino carico; di odore vinoso intenso e dal sapore asciutto.","100% Coda di Volpe","12,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Lacryma Christi del Vesuvio Rosso","Vesuvio","Rosso","Lacryma Christi","La Vinicola del Titerno","Colore rosso rubino, sapore speziato, caldo, giustamente tannico.","Aglianico; Olivella; Palombina","12,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Solopaca Rosso","Sannio Solopaca","Rosso","","La Vinicola del Titerno","Di colore rosso rubino che si attenua con l’invecchiamento; di odore intenso e caratteristico e dal sapore asciutto, armonico e vellutato.","Aglianico; Piedirosso; Sangiovese","12%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Solopaca Bianco","Sannio Solopaca","Bianco","","La Vinicola del Titerno","Di colore giallo paglierino. Odore vinoso e gradevole e dal sapore asciutto e vellutato.","Coda Di Volpa; Falanghina; Malvasia di Candia; Trebbiano Toscano;","11,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Barbera Linea V","Sannio","Rosso","Barbera","La Vinicola del Titerno","Colore rosso rubino, limpido e consistente. Profumi intensi di frutti rossi. Gusto secco, buona alcolicità ed equilibrata tannicità, morbido e persistente, di buona struttura.","100% Barbera","","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Aglianico Sannio","Sannio","Rosso","Aglianico","La Vinicola del Titerno","Di colore rosso rubino carico, granata con l’invecchiamento; di odore vinoso intenso e profumo di lampone; dal sapore asciutto, fine e leggermente tannico.","100% Aglianico","13%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Piedirosso Linea V","Sannio","Rosso","Piedirosso","La Vinicola del Titerno","Di colore rosso rubino intenso, limpido abbastanza consistente.Profumi intensi di frutti rossi come la ciliegia. Gusto secco, di buona alcolicità, fresco. Struttura morbida ed equilibrata.","100% Piedirosso","","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Surripe Rosso","Beneventano","Rosso","","La Vinicola del Titerno","Di colore rosso rubino che si attenua con l’invecchiamento; di odore intenso e caratteristico e dal sapore asciutto, armonico e vellutato.","Aglianico; Piedirosso; Sangiovese","12%","I.G.T.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Surripe Bianco","Beneventano","Bianco","","La Vinicola del Titerno","Di colore giallo paglierino. Odore vinoso e gradevole e dal sapore asciutto e vellutato.","Coda Di Volpa; Falanghina; Malvasia di Candia; Trebbiano Toscano;","11,5","I.G.T.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Falanghina Beneventano","Beneventano","Bianco","Falanghina","La Vinicola del Titerno","Di colore paglierino scarico con riflessi verdognoli; di odore vinoso, gradevole e fresco e dal sapore asciutto e armonico.","100% Falanghina","11,5%","I.G.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Aglianico Linea V","Sannio","Rosso","Aglianico","La Vinicola del Titerno","Colore rosso rubino, limpido e consistente. Profumi intensi e complessi di frutti rossi, sentori speziati di pepe nero e chiodi di garofano, tostati di caffè e cacao.Gusto secco, di buona alcolicità ed equilibrata tannicità, morbido e persistente, di grandestruttura.","100% Aglianico","","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Solopaca Rosso 'A Pezza","Sannio Solopaca","Rosso","","La Vinicola del Titerno","Colore rosso rubino, profumo intenso, vinoso, gusto pieno e rotondo che sottolinea tutta la sua mediterraneità.","Aglianico; Barbera; Sangiovese; Sciascinoso","12%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Aglianico Beneventano","Beneventano","Rosso","Aglianico","La Vinicola del Titerno","Di colore rosso rubino che si attenua con l’invecchiamento. Odore intenso e sapore asciutto e leggermente tannico.","100% Aglianico","12%","I.G.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Solopaca Bianco 'A Pezza","Sannio Solopaca","Bianco","","La Vinicola del Titerno","Colore giallo paglierino, gusto pieno ed equilibrato.","Cerritum; Falanghina; Trebbiano","11,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Falanghina Spumante Linea V","Vino Spumante di Qualità","Bianco","Brut","La Vinicola del Titerno","Giallo dorato, brillante con perlage sottile e persistente. Profumo ricco e persistente, con note fruttate e floreali, tenui aromi di lieviti e crosta di pane. Gusto secco, con piacevole e decisa nota fruttata ed acidula. Equilibrato.","100% Falanghina","","V.S.Q.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Coda di Volpe Linea V","Sannio","Bianco","Coda di Volpe","La Vinicola del Titerno","Colore giallo paglierino con riflessi dorati, cristallino,abbastanza consistente. Profumi intensi di fiori bianchi e frutta bianca matura. Gusto secco, di buona alcolicità, fresco, di corpo, equilibrato.","100% Coda di Volpe","","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Piedirosso Sannio","Sannio","Rosso","Piedirosso","La Vinicola del Titerno","Di colore rosso rubino carico, granata con l'invecchiamento.Aroma vinoso intenso, erbaceo di sottobosco.","100% Piedirosso","12,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Falanghina Sannio","Falanghina del Sannio","Bianco","Falanghina","La Vinicola del Titerno","Di colore paglierino scarico con riflessi verdognoli; odore vinoso, gradevole e fresco e dal sapore asciutto e armonico.","100% Falanghina","12,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Fiano Sannio","Sannio","Bianco","Fiano","La Vinicola del Titerno","Di colore giallo paglierino; odore vinoso intenso e profumo di nocciola.","100% Fiano","12,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Greco Beneventano","Beneventano","Bianco","Greco","La Vinicola del Titerno","Di colore giallo paglierino; odore vinoso intenso e profumo di mandorla.","100% Greco","12%","I.G.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Falanghina Linea V","Falanghina del Sannio","Bianco","Falanghina","La Vinicola del Titerno","Colore giallo paglierino, cristallino. Profumi intensi e complessi di frutta a polpa bianca e gialla, sentori di fiori gialli.Gusto equilibrato tra sensazioni morbide e acidità, di buon corpo e discreta persistenza.","100% Falanghina","","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Lacryma Christi del Vesuvio Bianco","Vesuvio","Bianco","Lacryma Christi","La Vinicola del Titerno","Di colore giallo paglierino, fragrante e ricco di profumi elegante e armonico.","Coda di Volpe; Falanghina; Verdeca","12,5%","D.O.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Falanghina Beneventano","Beneventano","Bianco","Falanghina","La Vinicola del Titerno","Di colore paglierino scarico con riflessi verdognoli; di odore vinoso, gradevole e fresco e dal sapore asciutto e armonico.","100% Falanghina","11,5%","I.G.P.","Via Iacovelli - zona PIP","Massa di Faicchio","Benevento","41.266501, 14.508626","http://www.lavinicoladeltiterno.it/","0824 814380","",
"Greco di Tufo","Greco di Tufo","Bianco","Greco di Tufo","Le Masciare","Il colore è di un giallo paglierino brillante, il suoprofumo leggermente minerale con noti dialbicocca, pera, pesca e agrumi, con un’ottimaacidità. Nel complesso risulta un vino moltoequilibrato. I toni di frutta rimangono sullosfondo con un retrogusto leggermente amaro,che ricorda le mandorle. Il terreno calcareo dàuna spiccata connotazione ai profumi del vino,che unisce una corposa struttura con piacevolinote minerali e un bouquet profumato.","100% Greco","13,5%","D.O.C.G.","Contrada Barbassano SNC","Paternopoli","Avellino","40.983721, 15.024790","http://www.lemasciare.com/","06 45596113","",
"Campi Taurasini","Irpinia Campi Taurasini","Rosso","","Le Masciare","Colore concentrato rubino scuro intenso conriflessi di granato, al naso offre un bouquetampio di ciliegia, amarena, prugna e moraselvatica; con note varietali di cannella, vanigliae anice. Il gusto è pieno e equilibrato con unabuona presenza di tannini che sostengono lapersistenza aromatica.","100% Aglianico","14%","D.O.C.","Contrada Barbassano SNC","Paternopoli","Avellino","40.983721, 15.024790","http://www.lemasciare.com/","06 45596113","",
"Taurasi","Taurasi","Rosso","Taurasi","Le Masciare","Colore concentrato rubino scuro intenso quandogiovane, con gli anni con maggiori riflessi digranato, al naso offre un bouquet ampio diciliegia, prugne ed amarena; con note speziatedi violetta, pepe nero e tabacco. Il gusto è pienocon tannini equilibrati ed una buona persistenzaaromatica.","100% Aglianico","14,5%","D.O.C.G.","Contrada Barbassano SNC","Paternopoli","Avellino","40.983721, 15.024790","http://www.lemasciare.com/","06 45596113","",
"Barbassano","Campania","Rosso","Aglianico","Le Masciare","Colore concentrato rubino scuro intenso conriflessi purpurei, al naso offre un bouquet ampioe complesso, ha profumi intensi fruttati; connote varietali di amarena, mora selvatica eprugna, giustamente tannico.","100% Aglianico","13,5%","I.G.T.","Contrada Barbassano SNC","Paternopoli","Avellino","40.983721, 15.024790","http://www.lemasciare.com/","06 45596113","",
"Fiano di Avellino","Fiano di Avellino","Bianco","Fiano di Avellino","Le Masciare","Il colore è di un eccezionale e luminoso giallodorato, il suo profumo delicato di frutti tropicali efiori, con aggiunta di sentori di nocciole emandorle tostate. Il gusto è pieno, morbido,fresco e pulito, con acidità vivace e una leggeranota di noci tostate e di mandorla amara nelretrogusto.","100% Fiano","13,5%","D.O.C.G.","Contrada Barbassano SNC","Paternopoli","Avellino","40.983721, 15.024790","http://www.lemasciare.com/","06 45596113","",
"Ragis Rosso","Colli di Salerno","Rosso","","Le Vigne di Raito","Di colore rosso rubinointenso,vivace Il Ragis ha sentoripreponderanti di mirto, macchiamediterranea, marasca, liquirizia ecacao. È vino di carattere maequilibrato al palato, dove dominala grande struttura dell'Aglianico,che gli conferisce beva, buonacapacità d'invecchiamento edevoluzione aromatica.","80% Aglianico; 20% Piedirosso","13,5%","I.G.T.","Via San Vito, 9, Loc. Raito","Vietri sul Mare","Salerno","40.671743, 14.717926","http://www.levignediraito.com/","089 233428","",
"","","","","Manimurci","","","","","ss164 km 83-200","Paternopoli","Avellino","40.964298, 15.036874","http://www.manimurci.com/","393 825 7033","",
"Atellanum","Aversa","Bianco","Asprinio","Masseria Campito","Colore giallo paglierino con riflessi dorati. Al naso sono evidente piacevoli note agrumate riconducibili alla buccia di limone e note di lime e mela verde. All'esame gustativo ha buona persistenza e buon equilibrio acido, per questo risulta assai fresco con buona struttura del vino stesso.","100% Asprinio","","D.O.P.","Via Casolla, 55","Gricignano di Aversa","Caserta","40.978250, 14.246480","http://www.masseriacampito.it/","081 5027540","",
"Martinotti","Aversa","Bianco","Asprinio Spumante Brut","Masseria Campito","Colore giallo paglierino scarico con riflessi verdognoli, spuma fine e persistente. Al naso sono evidenti piacevoli note fruttate che ricordano il lime e frutta tropicale. All'esame gustativo risulta fresco con un buon equilibrio acido e una buona struttura.","100% Asprinio","","D.O.P.","Via Casolla, 55","Gricignano di Aversa","Caserta","40.978250, 14.246480","http://www.masseriacampito.it/","081 5027540","",
"Piazza","Aversa","Bianco","Asprinio Spumante Metodo Classico","Masseria Campito","Colore giallo paglierino con riflessi dorati, spuma fine e persistente e perlage a grana fine. Al naso sono evidente piacevoli note agrumate riconducibili alla buccia di limone e note dolci che ricordano la crosta di pane e le nocciole. All'esame gustativo ha una buona persistenza e buon equilibrio acido per questo risulta assai fresco e al tempo stesso morbido legato alla buona struttura del vino stesso.","100% Asprinio","","D.O.P.","Via Casolla, 55","Gricignano di Aversa","Caserta","40.978250, 14.246480","http://www.masseriacampito.it/","081 5027540","",
"Falasprì","Campania","Bianco","","Masseria Campito","","","","I.G.P.","Via Casolla, 55","Gricignano di Aversa","Caserta","40.978250, 14.246480","http://www.masseriacampito.it/","081 5027540","",
"Maresa","Roccamonfina","Bianco","","Masseria Starnali","Giallo paglierino luminoso alla vista. Fresco e minerale il bouquet olfattivo, caratterizzato da richiami agli agrumi e al limone in particolare, e da sentori che ricordano la pietra focaia. Il palato è succoso e vibrante nel contempo, di buona persistenza ed equilibrato in chiusura.","100% Falanghina","12%","I.G.T.","Via Masseria Starnali, fraz. Sipicciano","Galluccio","Caserta","41.327886, 13.932240","http://www.masseriastarnali.com/","333 9830957","http://www.tannico.it/",
"Santo Sano","Roccamonfina","Rosso","","Masseria Starnali","Rosso rubino intenso alla vista. Al naso propone sentori fruttati di amarena e mora, che sono seguiti da sfumature aromatiche di timo, menta e alloro, e da toni gradevolmente minerali. Il sorso è sorretto da una buona freschezza, ma soprattutto è guidato da energici tannini. Ottima la lunghezza.","80% Aglianico; 20% Piedirosso","14,5%","I.G.T.","Via Masseria Starnali, fraz. Sipicciano","Galluccio","Caserta","41.327886, 13.932240","http://www.masseriastarnali.com/","333 9830957","http://www.tannico.it/",
"Conte di Galluccio","Galluccio","Rosso","Galluccio","Masseria Starnali","Rosso rubino intenso al calice. Il naso si sviluppa inizialmente su mature note fruttate, di mora, visciola e amarena, per poi proseguire su ricordi balsamici e vegetali, e chiudere su sfumature di rabarbaro e pepe nero. Il palato è sorretto da energici tannini, e da una decisa sapidità. Ottima la lunghezza e leggermente ammandorlata la chiusura.","100% Aglianico","14%","D.O.C.","Via Masseria Starnali, fraz. Sipicciano","Galluccio","Caserta","41.327886, 13.932240","http://www.masseriastarnali.com/","333 9830957","http://www.tannico.it/",
"Radici Fiano di Avellino","Fiano di Avellino","Bianco","Fiano di Avellino","Mastroberardino","Giallo paglierino. Offre una moltitudine di aromi tra i quali sentori di pera, ananas, acacia, nocciola, agrumi, biancospino e sfumature floreali. Vino di buona acidità ma allo stesso tempo di grande morbidezza. Gli iniziali sentori di pesca bianca e pompelmo si chiudono con spiccate note di frutta secca.","100% Fiano","","D.O.C.G.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Greco di Tufo Vintage","Greco di Tufo","Bianco","Greco di Tufo","Mastroberardino","Giallo paglierino carico. Sentori di camomilla, pera, frutta matura e frutta secca. Fresco, minerale, strutturato e persistente.","100% Greco","","D.O.C.G.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
"Fiano di Avellino","Fiano di Avellino","Bianco","Fiano di Avellino","Mastroberardino","Giallo paglierino. Delicato, con sentori di frutta fresca, mandorla, nocciola, fiori bianchi, agrumi, erbe aromatiche e fiori appassiti. Delicato, corposo, con evidenti note floreali.","100% Fiano","","D.O.C.G.","Via Manfredi, 75-81","Atripalda","Avellino","40.923361, 14.832046","http://www.mastroberardino.com/","0825 614111","",
